Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Male,Never married,White only,,State government,Construction and extraction occupations,Not enrolled,,10th grade,Adult civilian household member,680.0,500-749,1684.7724
Female,Married - spouse present,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,11th grade,Adult civilian household member,600.0,500-749,1977.0732
Female,Divorced,White only,United States,State government,Sales and related occupations,,,High school graduate,Adult civilian household member,336.0,250-499,4650.127
Male,Married - spouse present,White only,,State government,"Installation, maintenance, and repair occupations",,,5th-6th grade,Adult civilian household member,1050.0,1000-1249,5210.5329
Male,Married - spouse present,White only,,State government,Building and grounds cleaning and maintenance occupations,,,High school graduate,Adult civilian household member,1040.0,1000-1249,5210.5329
Female,Never married,White only,,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,920.0,750-999,4775.1571
Female,Married - spouse present,White only,United States,State government,Building and grounds cleaning and maintenance occupations,,,Bachelor's degree,Adult civilian household member,180.0,<250,1096.2978
Female,Married - spouse present,Black only,United States,State government,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,5614.8282
Male,Divorced,White only,United States,State government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,8115.06,2000+,1084.5994
Female,Never married,White only,,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,2300.0,2000+,4473.8194
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,944.0,750-999,5575.6043
Male,Married - spouse present,White only,United States,Federal government,Management occupations,,,Master's degree,Adult civilian household member,1900.0,1500-1999,3325.8208
Male,Married - spouse present,White only,United States,Local government,Transportation and material moving occupations,,,Bachelor's degree,Adult civilian household member,900.0,750-999,3909.1482
Male,Married - spouse present,White only,,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,656.0,500-749,4515.8899
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,960.0,750-999,627.6815
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1620.0,1500-1999,652.1789
Female,Never married,White only,United States,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,720.0,500-749,828.7364
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1080.0,1000-1249,1070.5387
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1080.0,1000-1249,1070.5387
Female,Married - spouse present,White only,United States,Federal government,Community and social service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,384.0,250-499,1961.7151
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1540.0,1500-1999,2269.3427
Female,Never married,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",,,Bachelor's degree,Adult civilian household member,1850.0,1500-1999,2997.8847
Male,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Enrolled,Full time,Master's degree,Adult civilian household member,300.0,250-499,3314.4199
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,Professional degree,Adult civilian household member,750.0,750-999,3365.3377
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1058.0,1000-1249,3314.4199
Male,Married - spouse present,Black only,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,730.0,500-749,2496.155
Female,Married - spouse present,Black only,United States,Federal government,Healthcare support occupations,,,High school graduate,Adult civilian household member,1810.0,1500-1999,1597.2895
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,High school graduate,Adult civilian household member,200.0,<250,3548.2467
Female,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1830.0,1500-1999,3408.7266
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1460.0,1250-1499,4323.2018
